ID,class,wt
1,Group 2,252
2,Group 2,123
3,Group 2,174
4,Group 2,206
5,Group 3,151
6,Group 1,210
7,Group 2,264
8,Group 1,222
9,Group 3,278
10,Group 2,218
11,Group 1,133
12,Group 2,214
13,Group 3,126
14,Group 1,283
15,Group 2,176
16,Group 2,195
17,Group 3,224
18,Group 2,90
19,Group 1,197
20,Group 1,138
21,Group 1,170
22,Group 2,232
23,Group 1,251
24,Group 3,239
25,Group 3,248
26,Group 2,92
27,Group 1,123
28,Group 1,90
29,Group 2,148
30,Group 3,294
31,Group 2,219
32,Group 1,298
33,Group 1,222
34,Group 3,219
35,Group 1,218
36,Group 1,274
37,Group 3,158
38,Group 2,216
39,Group 3,161
40,Group 3,103
41,Group 3,194
42,Group 1,297
43,Group 2,132
44,Group 3,88
45,Group 2,127
46,Group 2,94
47,Group 3,82
48,Group 1,179
49,Group 1,191
50,Group 2,147
51,Group 2,205
52,Group 2,140
53,Group 1,253
54,Group 3,141
55,Group 2,245
56,Group 3,116
57,Group 3,213
58,Group 1,120
59,Group 2,197
60,Group 3,224
61,Group 2,115
62,Group 2,197
63,Group 1,291
64,Group 3,214
65,Group 3,281
66,Group 2,205
67,Group 3,132
68,Group 3,139
69,Group 1,286
70,Group 2,103
71,Group 3,239
72,Group 2,129
73,Group 1,181
74,Group 1,229
75,Group 1,260
76,Group 1,119
77,Group 3,199
78,Group 2,113
79,Group 1,155
80,Group 1,180
81,Group 3,181
82,Group 2,123
83,Group 3,199
84,Group 1,215
85,Group 1,216
86,Group 3,269
87,Group 3,249
88,Group 3,239
89,Group 2,200
90,Group 1,191
91,Group 1,212
92,Group 3,110
93,Group 1,86
94,Group 1,173
95,Group 3,211
96,Group 2,133
97,Group 3,165
98,Group 3,144
99,Group 1,280
